github issue name,github issue ID,Fix Version/s,Created timestamp,Updated timestamp,Description,Reporter,Labels,Assignee,Comment Body
changing chart color causes backend choropleth crash,4695,,2018-06-11T20:46:06Z,2018-06-11T21:16:54Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,"bug,release blocker",alexbaden,"Can't repro, but here's the screenshot from @tmostak original issue:

<img width=""1920"" alt=""screen shot 2018-06-09 at 9 04 36 am"" src=""https://user-images.githubusercontent.com/5845842/41257341-572bda4c-6d81-11e8-8e12-afc6777da5a4.png"">
,alexbaden"
show popup for color measure when using a dimension w/ backend choropleth,4694,,2018-06-11T20:45:46Z,2018-06-11T20:45:46Z,"### :speech_balloon: Description


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,bug,alexbaden,
Refactor backend choropleth color scales,4693,,2018-06-11T20:08:44Z,2018-06-11T21:05:45Z,"Supports solid and quantize scales
Removes text types from quantize scale, temporarily does not support ordinal scale (backend limitation https://github.com/mapd/mapd-core-internal/issues/1621)
Drop # Records from backend choropleth color measure without a dimension (was causing a crash previously)
Display aggregate selector in color measure when a dimension is present (#4678)
Properly handles std dev aggregate (#4641)

### 💬  Description
 
### 📄 Github Issue
Closes #0

### :camera_flash: Screenshot",alexbaden,,,"**Immerse**: http://immerse-4693.dev.frontend.builds.mapd.com

,mapd-bot
Doh, forget the most important part. If we have choropleth and we do a layer filter (meaning we click on a polygon) then we want the existing polygons to still be rendered, but in a more opaque and more neutral color. This allows us to do hit testing on existing polygons (note that we could actually ""render"" them as completely opaque, meaning only their outlines would disappear, if desirable. It's easy to change in charting). See screenshot below for example: 

![image](https://user-images.githubusercontent.com/5845842/41254830-8639e61a-6d79-11e8-88a1-fa237e7cd246.png)
,alexbaden
**Immerse**: http://immerse-4693.dev.frontend.builds.mapd.com

,mapd-bot
**Immerse**: http://immerse-4693.dev.frontend.builds.mapd.com

,mapd-bot
#4641 is still reproducible  if the original source contains a Geo column (map created without a join):
![screen shot 2018-06-11 at 4 16 48 pm](https://user-images.githubusercontent.com/39566471/41261961-221e4dc8-6d93-11e8-9ecc-c310cf590361.png)
,AlexHarutyunyan"
Investigate inconsistencies in column type labels,4692,,2018-06-11T18:00:58Z,2018-06-11T18:03:40Z,"### :speech_balloon: Description

e.g.  ""STR [dict. encoded]"" and not ""TEXT ENCODING DICT(32)"" in table preview (latter is the strict DDL syntax), and different labels again in the chart column selectors

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,,,"I approve,simoneves"
Change GEOINT to COMPRESSED in Table Importer geo options,4691,,2018-06-11T17:41:41Z,2018-06-11T17:41:58Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"geospatial,import",jrajav,
remove dead table selection code from table-picker-parent,4690,,2018-06-11T16:19:12Z,2018-06-11T18:26:37Z,"### 💬  Description
 Removes unused code in `table-picker-parent` that's no longer used to select a table for preview
### 📄 Github Issue
Closes #4600

### :camera_flash: Screenshot

### Testing Notes
Table previews should continue to work as expected, with users being able to select table from the list and see it's columns",jmenestr,,AlexHarutyunyan,"**Immerse**: http://immerse-4690.dev.frontend.builds.mapd.com

,mapd-bot
Verified on all supported browsers (Kali+Mahakali).,AlexHarutyunyan"
Imported geo columns do not show column name in selectors,4689,,2018-06-11T14:18:01Z,2018-06-11T16:02:44Z,"### :speech_balloon: Description

Unsure if this is meant to be supported yet or not, but mapd_geo columns that have a name upon import do not retain that column name in the data source (or at least, the chart selectors).

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

<img width=""1528"" alt=""mapd_geo field names 1"" src=""https://user-images.githubusercontent.com/2074135/41237063-3d675196-6d58-11e8-8726-5511cf87f0b2.png"">
<img width=""1528"" alt=""mapd_geo field names 2"" src=""https://user-images.githubusercontent.com/2074135/41237067-3f854596-6d58-11e8-9681-3e12c9d7306b.png"">

### :memo: Other Info

Dataset in screens above is trips.csv:

`COPY trips_geo FROM ‘/freenas-home/home/annette/inrix/trips’ with (lonlat=‘false’);`",jrajav,"Needs PM Review,geospatial,import",,"I can't think of any reason why they shouldn't be displayed in that list with their original name. The icon can still be the ""location"" icon to show that it's geo. The original name must have been used for sorting the list elements, too!,simoneves"
Bad filter when filtering on chart with unbinned integers.,4688,,2018-06-10T05:19:37Z,2018-06-11T20:32:10Z,"To repro on Kali:

Using flights dataset
1. Create a table chart with dimension as arrdelay (bar chart works as well).
2. Turn off binning for arrdelay in the dimension selector
3. Click on any of the rows or bars. Nothing happens.

This is the query that is issued:

""SELECT COUNT(*) as n FROM flights WHERE (arrdelay = [object Object])""

Marking as a release blocker until we can scope whether this is a regression (may still be even if not, its pretty serious).",tmostak,"P1,bug,release blocker",clhenrick,"I think this bug is related to https://github.com/mapd/mapd-immerse/issues/4557,alexbaden"
"Column header names revert to `column_1`, `column_2` etc. upon import after changing a CSV import setting",4687,,2018-06-09T18:32:05Z,2018-06-09T18:32:25Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"bug,import",jrajav,
"[Geo - Choropleth] Reduce join types in dimensions or geo join column, if other is already selected",4685,,2018-06-09T16:00:08Z,2018-06-09T16:00:19Z,"### :speech_balloon: Description

If possible, restrict the list of selector values in dimensions selector or geo join column selector to the valid join types, if the opposite one is already filled.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"BE-Choropleth,Needs PM Review,geospatial",,
Color By Dimension is not compatible with Timestamps/Numbers and can cause an error loop if used,4684,,2018-06-09T01:38:40Z,2018-06-09T01:38:40Z,"### :speech_balloon: Description
The Color By Dimension option in the palette is not compatible with Timestamps or Numbers. All values will be appear as Other even when a full palette is added. As soon as color by dimension is selected an error loop is triggered when the user navigates to another chart. 

### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a bar chart (Source: flights | Dimension: arr_timestamp | Measure: # Records)
- Select Color By Dimension in the Color Palette 
- Add a color 
- Navigate to another chart (Histogram for example)

- **Actual result:**
The palette options don't seem to reflect the data being displayed. 
- **Expected result:**
The Color by Dimension feature should reflect the data being displayed similar to the default palettes. 



### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![colorpalettetimestamp](https://user-images.githubusercontent.com/39566471/41186387-7caa41b6-6b4a-11e8-9bb5-3825086baccf.gif)
![screen shot 2018-06-08 at 5 50 35 pm](https://user-images.githubusercontent.com/39566471/41186389-8547e562-6b4a-11e8-8130-31c2455dea0f.png)

### :memo: Other Info",AlexHarutyunyan,"P2,bug,found during 4.0",,
Connot switch to different chart type from geo heat map,4682,,2018-06-08T23:06:37Z,2018-06-08T23:07:12Z,"### :speech_balloon: Description

Connot switch to different chart type from geo heat map


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Go to kali
- Create heat map 
-  Select source: Metro_station_Regional
- On long/ lat select mapd_geo
- Select records as color
- try to switch to a different chart


- **Actual result:**
Cannot switch to a different chart 
Heat map is not rendered anymore 

- **Expected result:**
Should be able to switch to a different chart 

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![jun-08-2018 16-04-06](https://user-images.githubusercontent.com/16374964/41184553-f5e1f4e4-6b35-11e8-9f11-d7d432a4b1bb.gif)

### :memo: Other Info",menaczar,"P2,bug,found during 4.0,geospatial",,
Unable to clear Measure Number Formatting after clearing Dimension Date Formatting,4681,,2018-06-08T22:53:14Z,2018-06-08T23:23:10Z,"### :speech_balloon: Description
Number formatting doesn't clear if it is performed right after clearing timestamp formatting on charts that contain both formatting options. 



### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create Bar chart using (Source: flights | Dimension: arr_timestamp | Measure: # Records)
- Apply Some different combinations of formatting to arr_timestamp and # Records
- Clear the formatting from Dimension arr_timestamp using the x button
- Clear the formatting from Measure # Records using the x button 

- **Actual result:**
Unable to clear the formatting from the Measure Number Formatting
- **Expected result:**
Clear button should always clear the formatting

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![formattingclear](https://user-images.githubusercontent.com/39566471/41184257-06adb17a-6b34-11e8-9aa2-e78f34b07594.gif)
### :memo: Other Info",AlexHarutyunyan,"P3,bug,found during 4.0",,
