"Summary","LEGACY GH issue ID","Fix Version/s","LEGACY GH created","LEGACY GH updated","Description","Reporter","Labels","Assignee"
"Properly update colors when switching charts",4747,,"2018-06-14T14:08:40Z","2018-06-14T14:42:08Z","### 💬  Description

Preserves the ability to save a chosen color scale while also picking the appropriate color scale for a new chart (either as a new raster layer in a multilayer chart or an entirely new chart).

### 📄 Github Issue

Fixes #4741
Fixes #4702

### :camera_flash: Screenshot","alexbaden",,
"Only redraw raster charts when clearing chart filters (#4742)",4746,,"2018-06-14T05:54:33Z","2018-06-14T13:21:55Z","When clearing all filters we dispatch redrawAllAsync from handleClearAllFilters in global-filter-sagas.js. Dispatching redrawAllAsync twice can result in some charts not being properly re-drawn.

### 💬  Description
 
### 📄 Github Issue
Closes #4742 

### :camera_flash: Screenshot","alexbaden",,
"IE all charts titles are aligned to the right ",4744,,"2018-06-14T01:21:51Z","2018-06-14T13:41:27Z","### :speech_balloon: Description

IE all chart titles are aligned to the right.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce

- Create text widget in IE
 

- **Actual result:**

Title aligned to the right.

- **Expected result:**

title should be centered

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![Screen Shot 2018-06-13 at 6.16.26 PM.png](https://images.zenhubusercontent.com/59a47c158f62dc7798c4571a/58b5a8b0-837c-426b-a621-916b73900517)
### :memo: Other Info","menaczar","P4,bug,regression",
"[Combo] Editing axis titles causes incorrect format for color legend & custom color key",4743,,"2018-06-14T01:05:39Z","2018-06-14T13:40:00Z","### :speech_balloon: Description
Currently, if user has a combo chart with multiple measures, editing the x-axis and y-axis title labels would improper format for color legend & custom legend key.

### :computer: Environment
- **Browser Name, Version**:  Chrome
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
1.  Create a Combo chart with the following:
Data Source: flight
Dimension X-axis: arr_timstamp (Binning auto)
Measure Y-axis 1: arrdelay (avg)
Measure Y-axis 2: carrierdelay (avg)
Measure Y-axis 3: depdelay (avg)

2.  Add extra word to x-axis and y-axis title (i.e. title)
3. Click apply to pin chart to dashboard

- **Actual result:**
The first row in the Color Legend and Custom Color Key no longer has correct format

- **Expected result:**
First row in the Color Legend and Custom Color Key should maintain proper format

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![combo_title_edit_bug](https://user-images.githubusercontent.com/35040876/41386040-32d15758-6f34-11e8-9288-e787715dc86e.gif)

<img width=""1338"" alt=""screen shot 2018-06-13 at 6 04 31 pm"" src=""https://user-images.githubusercontent.com/35040876/41386057-559984f4-6f34-11e8-9c36-b274308da179.png"">


### :memo: Other Info","ericli5454","P2,bug,combo-chart,found during 4.0",
"Clear all filters regression.",4742,,"2018-06-14T00:25:10Z","2018-06-14T01:01:37Z","### :speech_balloon: Description
Clear all filters regression.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create a line chart and bar chart
- Flights depdelay vs arrdelay
- create any filter 
- click clear all filter and it will work fine
- Create a choropleth
- Paris_Mena mapd_geo
- Create a filter on non geo charts
-create filter on geo choropleth
-click cleat all filters

- **Actual result:**
Clear all works for choropleth only

- **Expected result:**
clear all should clear all filters 

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![jun-13-2018 17-24-08](https://user-images.githubusercontent.com/16374964/41385156-bfef1ac2-6f2e-11e8-80a2-dd1e5696db16.gif)


### :memo: Other Info","menaczar","P1,bug,regression,release blocker by rule",
"Unable to create a multilayer Pointmap",4741,,"2018-06-13T23:57:55Z","2018-06-14T13:24:40Z","### :speech_balloon: Description

### :computer: Environment
- **Chrome, 67.0.3396.79**: 
- **mapd-immerse Version or Branch**: 4.0 RC4 

### :page_with_curl: Steps To Reproduce
- Create Pointmap (Source: flights | Measure Lon: dest_lon | Measure Lat: dest_lat)
- Add a layer to the Pointmap (Source: flights | Measure Lon: origin_lon | Measure Lat: origin_lat )
- **Actual result:**
Exception error message is generated after which immerse hangs and the map is not rendered.  
- **Expected result:**
Layered Pointmap should render without an error message combining the chosen measures.

### :dash: Smoke Test


- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![multilayer pointmap](https://user-images.githubusercontent.com/39566471/41384455-b8ff10cc-6f2a-11e8-8846-271c3926e370.gif)
<img width=""1209"" alt=""screen shot 2018-06-13 at 4 46 53 pm"" src=""https://user-images.githubusercontent.com/39566471/41384459-c29ce8de-6f2a-11e8-9857-d27fae7d3e9b.png"">

### :memo: Other Info
Can be replicated using a dataset containing geo column as well (Metro_Stations_in_DC/Metro_Stations_Regional)","AlexHarutyunyan","P1,bug,regression,release blocker by rule","alexbaden"
"Combo Chart focus and range brushes out of sync",4739,,"2018-06-13T22:38:08Z","2018-06-13T22:38:08Z","### :speech_balloon: Description
When creating a combo line-chart with a numerical dimension and the range chart enabled, brushing on the range chart appears to be out of sync with what is displayed in the combo chart.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- create a combo chart with flights
- airtime as dimenstion
- carrier_name as measure
- enable range chart
- brush on range chart

- **Actual result:**
Graph shown in focus chart appears to have different values then the brushed portion of the range chart

- **Expected result:**
Graph shown in focus chart should show the same values in brushed portion of the focus chart

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

<img width=""780"" alt=""screen shot 2018-06-13 at 3 32 35 pm"" src=""https://user-images.githubusercontent.com/161748/41382081-6837720c-6f1f-11e8-83d7-d15525449bd5.png"">

### :memo: Other Info","clhenrick","combo-chart",
"ensure geojoin does not get copied to a new layer in multi-layer choropleth",4735,,"2018-06-13T20:20:53Z","2018-06-13T20:20:53Z","### :speech_balloon: Description

When adding a layer, the geojoin from an existing multilayer choropleth will get copied to the new multilayer choropleth. Preferably the geojoin could be left blank, instead. 

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info","alexbaden","bug",
"Properly cancel hit testing on raster chart destroy (charting)",4733,,"2018-06-13T19:33:29Z","2018-06-13T19:35:02Z","
### :speech_balloon: Description

Copying this issue here for greater visibility: https://github.com/mapd/mapd-charting/issues/234

![41318977-17f04cd6-6e4f-11e8-9fab-c57d7753dc8c](https://user-images.githubusercontent.com/5845842/41373764-1da1e02e-6f06-11e8-91bd-ce34cf12b9dc.gif)

Basically, if a hit test is active when you save a choropleth chart, you get strange rendering behavior until you reload the dashboard. 

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info","alexbaden","bug",
"Chore/add typescript",4732,"[object Object]","2018-06-13T19:19:41Z","2018-06-14T14:55:24Z","### 💬  Description
Adds `TypeScript` to our build, allowing new code to be written in typescript.

* Converts all `@flow` to `.ts`/`.tsx` files
* Adds support to `typescript` test files
* Adds `tslint` 
* Adds types for most common libraries (React, Redux, react-redux, react-router, chai, redux-saga, mocha)



### 📄 Github Issue
Closes #4713

Points of Discusssion
* What `tslint` rules do we want to apply?
* Perf benchmarks (how much slower is the compiler)
* Practices and standards for interop between old `js` files with new `ts` files (I'm planning on identifying the potential pain points 
* Using relative paths for everything (I had issues with custom resolutions for modules and had to change some of the paths in `.ts` files to be relative since they could not resolve).

Future Goals:
* Migrate our other `js` libraries (`connector`, `charting`) to typescript to support interfaces between libraries","jmenestr","tech",
