"github issue name",html_url,id,"github issue ID","Fix Version/s","Created timestamp","Updated timestamp","Description","Reporter","Labels",comments,"Assignee"
changing chart color causes backend choropleth crash,https://github.com/mapd/mapd-immerse/issues/4695,331343540,4695,,2018-06-11T20:46:06Z,2018-06-11T21:16:54Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,"bug,release blocker",1,alexbaden
show popup for color measure when using a dimension w/ backend choropleth,https://github.com/mapd/mapd-immerse/issues/4694,331343439,4694,,2018-06-11T20:45:46Z,2018-06-11T20:45:46Z,"### :speech_balloon: Description


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,bug,0,alexbaden
Refactor backend choropleth color scales,https://github.com/mapd/mapd-immerse/pull/4693,331331610,4693,,2018-06-11T20:08:44Z,2018-06-11T21:05:45Z,"Supports solid and quantize scales
Removes text types from quantize scale, temporarily does not support ordinal scale (backend limitation https://github.com/mapd/mapd-core-internal/issues/1621)
Drop # Records from backend choropleth color measure without a dimension (was causing a crash previously)
Display aggregate selector in color measure when a dimension is present (#4678)
Properly handles std dev aggregate (#4641)

### 💬  Description
 
### 📄 Github Issue
Closes #0

### :camera_flash: Screenshot",alexbaden,,4,
Investigate inconsistencies in column type labels,https://github.com/mapd/mapd-immerse/issues/4692,331290636,4692,,2018-06-11T18:00:58Z,2018-06-11T18:03:40Z,"### :speech_balloon: Description

e.g.  ""STR [dict. encoded]"" and not ""TEXT ENCODING DICT(32)"" in table preview (latter is the strict DDL syntax), and different labels again in the chart column selectors

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,,1,
Change GEOINT to COMPRESSED in Table Importer geo options,https://github.com/mapd/mapd-immerse/issues/4691,331284186,4691,,2018-06-11T17:41:41Z,2018-06-11T17:41:58Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"geospatial,import",0,jrajav
remove dead table selection code from table-picker-parent,https://github.com/mapd/mapd-immerse/pull/4690,331257542,4690,,2018-06-11T16:19:12Z,2018-06-11T18:26:37Z,"### 💬  Description
 Removes unused code in `table-picker-parent` that's no longer used to select a table for preview
### 📄 Github Issue
Closes #4600

### :camera_flash: Screenshot

### Testing Notes
Table previews should continue to work as expected, with users being able to select table from the list and see it's columns",jmenestr,,2,AlexHarutyunyan
Imported geo columns do not show column name in selectors,https://github.com/mapd/mapd-immerse/issues/4689,331208921,4689,,2018-06-11T14:18:01Z,2018-06-11T16:02:44Z,"### :speech_balloon: Description

Unsure if this is meant to be supported yet or not, but mapd_geo columns that have a name upon import do not retain that column name in the data source (or at least, the chart selectors).

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

<img width=""1528"" alt=""mapd_geo field names 1"" src=""https://user-images.githubusercontent.com/2074135/41237063-3d675196-6d58-11e8-8726-5511cf87f0b2.png"">
<img width=""1528"" alt=""mapd_geo field names 2"" src=""https://user-images.githubusercontent.com/2074135/41237067-3f854596-6d58-11e8-9681-3e12c9d7306b.png"">

### :memo: Other Info

Dataset in screens above is trips.csv:

`COPY trips_geo FROM ‘/freenas-home/home/annette/inrix/trips’ with (lonlat=‘false’);`",jrajav,"Needs PM Review,geospatial,import",1,
Bad filter when filtering on chart with unbinned integers.,https://github.com/mapd/mapd-immerse/issues/4688,330941494,4688,,2018-06-10T05:19:37Z,2018-06-11T20:32:10Z,"To repro on Kali:

Using flights dataset
1. Create a table chart with dimension as arrdelay (bar chart works as well).
2. Turn off binning for arrdelay in the dimension selector
3. Click on any of the rows or bars. Nothing happens.

This is the query that is issued:

""SELECT COUNT(*) as n FROM flights WHERE (arrdelay = [object Object])""

Marking as a release blocker until we can scope whether this is a regression (may still be even if not, its pretty serious).
",tmostak,"P1,bug,release blocker",1,clhenrick
"Column header names revert to `column_1`, `column_2` etc. upon import after changing a CSV import setting",https://github.com/mapd/mapd-immerse/issues/4687,330909600,4687,,2018-06-09T18:32:05Z,2018-06-09T18:32:25Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"bug,import",0,jrajav
"[Geo - Choropleth] Reduce join types in dimensions or geo join column, if other is already selected",https://github.com/mapd/mapd-immerse/issues/4685,330898502,4685,,2018-06-09T16:00:08Z,2018-06-09T16:00:19Z,"### :speech_balloon: Description

If possible, restrict the list of selector values in dimensions selector or geo join column selector to the valid join types, if the opposite one is already filled.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"BE-Choropleth,Needs PM Review,geospatial",0,
